Name,Quantity,Unit Cost,Total Cost,Expense group,eYear
Weeding ,2,100000,200000,Variable Costs ,2019
Manure (Compost),9,20000,180000,Variable Costs ,2019
"SoilWater conservation
structures ",1,200000,200000,Variable Costs ,2019
Stakes ,200,3000,600000,Variable Costs ,2019
Nails ,2,6000,12000,Variable Costs ,2019
Labour,12,100000,1200000,Variable Costs ,2019
Mulches (lorries),15,150000,2250000,Variable Costs ,2019
