Crop,Yield on farmersâfields,Yield on research station,Yield gap (%)
Maize,551,"5,000 Ð 8,000","807 Ð 1,352"
Beans,358,"2,000 Ð 4,000","458 - 1,017"
Groundnuts,636,"2,700 Ð 3,500",324 - 450
Bananas,1872,4500,140
Coffee,369,3500,849
