Sector,Sector,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12
Sector Growth Rates,Agriculture,1.6,2,0.5,0.1,1.3,2.9,2.4,0.7,3
Sector Growth Rates,Industry,8,11.6,14.7,9.6,8.8,5.8,6.5,7.9,1.1
Sector Growth Rates,Services,7.9,6.2,12.2,8,9.7,8.8,8.2,8.4,3.1
Sector Shares in Total GDP at Current Prices,Agriculture,23.8,25.1,18.3,16.9,15.8,15.1,14.7,13.9,
Sector Shares in Total GDP at Current Prices,Industry,22.9,23.5,24.8,25.1,25.1,24.8,25,25.3,
Sector Shares in Total GDP at Current Prices,Services,47.4,45.4,49.6,49.6,49.9,50.7,51.6,52.4,
